iter	Logloss
0	0.6523207175
1	0.6230850304
2	0.5931503702
3	0.5659022814
4	0.5450931474
5	0.5260588261
6	0.5089486854
7	0.4963438026
8	0.4842901358
9	0.4782494907
10	0.4665110707
11	0.4558857012
12	0.4474834984
13	0.4402489069
14	0.4366741908
15	0.4318349561
16	0.4272711196
17	0.4227935228
18	0.4172938182
19	0.4143438718
20	0.4106612576
21	0.4067034941
22	0.4033846327
23	0.4003514961
24	0.3977128451
25	0.3950663929
26	0.3931323939
27	0.3926405089
28	0.3900372862
29	0.3892801927
30	0.3868168204
31	0.3854029702
32	0.3833027118
33	0.3809129082
34	0.3796323589
35	0.3783658651
36	0.3770662812
37	0.3759336049
38	0.3743115806
39	0.3729497052
40	0.3713828044
41	0.3702088769
42	0.3685589672
43	0.3678235981
44	0.3673730929
45	0.3656617007
46	0.3646471139
47	0.3634821676
48	0.3627288953
49	0.3621221024
50	0.3614154313
51	0.3607275463
52	0.360330377
53	0.3592358567
54	0.3577553401
55	0.3569430356
56	0.3559431232
57	0.354741534
58	0.3539360417
59	0.3535585249
60	0.3525666135
61	0.3518583351
62	0.3510610902
63	0.3505938237
