iter	Passed	Remaining
0	0	48
1	0	30
2	1	32
3	2	31
4	2	29
5	2	28
6	3	28
7	3	27
8	4	27
9	5	27
10	5	26
11	6	26
12	6	25
13	7	25
14	7	24
15	8	24
16	8	23
17	9	23
18	9	22
19	10	22
20	10	21
21	11	21
22	11	20
23	12	20
24	12	19
25	13	19
26	13	18
27	13	17
28	14	17
29	15	17
30	15	16
31	16	16
32	16	15
33	17	15
34	18	14
35	18	14
36	19	13
37	19	13
38	20	12
39	20	12
40	21	11
41	21	11
42	22	10
43	22	10
44	23	9
45	23	9
46	24	8
47	24	8
48	25	7
49	26	7
50	26	6
51	27	6
52	27	5
53	28	5
54	28	4
55	29	4
56	29	3
57	30	3
58	30	2
59	31	2
60	31	1
61	32	1
62	32	0
63	33	0
