estimator,feature_engineer,loss,accuracy,cost_time,highc_cat_encoder,minimum_fraction,af_hidden
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,13.8267,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,20.5606,encode.entity,0.001:float,
random_forest,generate.autofeat,0.00668529,0.9933147113594041,13.6725,encode.cat_boost,0.1:float,
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,11.3172,encode.cat_boost,0.001:float,
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,4.82926,encode.cat_boost,0.001:float,
lightgbm,generate.autofeat,0.0066915,0.993308504034761,3.94305,encode.cat_boost,0.001:float,
lightgbm,generate.autofeat,0.0077964,0.992203600248293,10.8464,encode.entity,0.1:float,
random_forest,select.boruta,0.0077964,0.992203600248293,10.4628,encode.ordinal,0.01:float,
lightgbm,generate.autofeat,0.0077964,0.992203600248293,4.55932,encode.entity,0.001:float,
lightgbm,operate.keep_going,0.0077964,0.992203600248293,3.5122,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0077964,0.992203600248293,10.0015,encode.entity,0.1:float,
lightgbm,generate.autofeat,0.00780261,0.9921973929236498,9.93322,encode.cat_boost,0.001:float,
lightgbm,generate.autofeat,0.00780261,0.9921973929236498,8.09085,encode.cat_boost,0.01:float,
lightgbm,generate.autofeat,0.00780261,0.9921973929236498,11.0147,encode.cat_boost,0.01:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,12.6056,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,14.4701,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,12.9251,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,4.96588,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,6.83149,encode.entity,0.01:float,
lightgbm,operate.keep_going,0.00890751,0.9910924891371818,6.00101,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,10.3032,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,9.72555,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,15.92,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,5.41311,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,12.9874,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,11.2908,encode.entity,0.001:float,
lightgbm,operate.keep_going,0.00891372,0.9910862818125388,5.2769,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.00891372,0.9910862818125388,12.8904,encode.entity,0.1:float,
lightgbm,generate.autofeat,0.0100186,0.9899813780260708,8.29677,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0100186,0.9899813780260708,8.27475,encode.entity,0.1:float,
lightgbm,generate.autofeat,0.0100186,0.9899813780260708,17.2199,encode.entity,0.1:float,
random_forest,select.boruta,0.0100186,0.9899813780260708,10.0768,encode.entity,0.001:float,
lightgbm,operate.keep_going,0.0100186,0.9899813780260708,7.84451,encode.ordinal,0.01:float,
lightgbm,operate.keep_going,0.0100186,0.9899813780260708,4.82132,encode.ordinal,0.1:float,
lightgbm,operate.keep_going,0.0100186,0.9899813780260708,3.76733,encode.entity,0.001:float,
random_forest,select.boruta,0.0100186,0.9899813780260708,10.2013,encode.cat_boost,0.1:float,
lightgbm,select.boruta,0.0100248,0.9899751707014277,13.3835,encode.cat_boost,0.001:float,
random_forest,select.boruta,0.0100248,0.9899751707014277,9.43797,encode.cat_boost,0.01:float,
lightgbm,operate.keep_going,0.0100248,0.9899751707014277,12.8863,encode.entity,0.1:float,
lightgbm,operate.keep_going,0.0100248,0.9899751707014277,5.66137,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0111297,0.9888702669149596,7.23451,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0111359,0.9888640595903165,18.2856,encode.entity,0.1:float,
lightgbm,operate.keep_going,0.0111359,0.9888640595903165,10.7428,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.0111359,0.9888640595903165,15.8353,encode.cat_boost,0.1:float,
lightgbm,select.boruta,0.0111359,0.9888640595903165,6.59972,encode.cat_boost,0.001:float,
lightgbm,generate.autofeat,0.0111359,0.9888640595903165,3.75607,encode.cat_boost,0.01:float,
lightgbm,generate.autofeat,0.0111359,0.9888640595903165,13.7173,encode.cat_boost,0.001:float,
lightgbm,generate.autofeat,0.0111359,0.9888640595903165,9.40327,encode.cat_boost,0.1:float,
lightgbm,generate.autofeat,0.0111359,0.9888640595903165,9.2577,encode.cat_boost,0.001:float,
lightgbm,operate.keep_going,0.0111359,0.9888640595903165,19.7045,encode.entity,0.1:float,
lightgbm,select.boruta,0.0122471,0.9877529484792055,5.12413,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.0122533,0.9877467411545624,8.73875,encode.ordinal,0.1:float,
lightgbm,generate.autofeat,0.0122533,0.9877467411545624,10.3951,encode.ordinal,0.1:float,
lightgbm,select.boruta,0.0122533,0.9877467411545624,16.3625,encode.ordinal,0.1:float,
lightgbm,generate.autofeat,0.0122533,0.9877467411545624,22.0805,encode.entity,0.1:float,
lightgbm,operate.keep_going,0.0133582,0.9866418373680943,6.80027,encode.cat_boost,0.1:float,
lightgbm,operate.keep_going,0.0133582,0.9866418373680943,7.13326,encode.cat_boost,0.1:float,
lightgbm,select.boruta,0.0133582,0.9866418373680943,13.0738,encode.cat_boost,0.1:float,
random_forest,generate.autofeat,0.0133644,0.9866356300434512,12.6042,encode.cat_boost,0.1:float,
lightgbm,operate.keep_going,0.0133706,0.9866294227188082,2.6993,encode.ordinal,0.001:float,
lightgbm,generate.autofeat,0.0133768,0.9866232153941651,16.5392,encode.ordinal,0.01:float,
