table | model:__choice__
,0,1,2
LR-std-l2,-0.08115072,-1.6977852999999998,-0.47336093
LR-std-l1,0.19618249,-1.3881928,-0.22690679
LR-minmax-l1,1.0279908000000002,-1.6557779,-0.6354463
LR-minmax-l2,-0.3669742,-0.94049776,0.9219506
LSVM-std-l1,0.95188755,-0.9029196,-1.2029368
LSVM-std-l2,0.19829606,-0.117473535,0.24239108
LSVM-minmax-l1,0.28634912,0.14259127,0.8423444
LSVM-minmax-l2,0.46507075,0.16468363,0.07217773
KNN-l1,-2.5126777,-0.87974864,0.082247555
KNN-l2,-1.1455551000000002,0.27545154,1.1622254
LGBM-gbdt,-1.2239658000000002,0.8826699,0.26972556
LGBM-dart,-2.3940554,0.44601485,1.7172413
LGBM-rf,-0.7385179000000001,0.74323815,-2.6244657000000005
XGBoost,0.85094005,-3.038046,3.0095866
CatBoost,-2.3554182,-0.37641504,-1.0117466
RF-bag,0.23558491,1.1927981,-1.6850631
RF-nobag,0.11110451,1.7617695,-1.832003
ET-bag,-0.07837474,0.8003715,-0.47376168
ET-nobag,2.1833224,1.6931952,-2.064492
table | continuous_scaler
,mean,weight
model:CatBoost:n_estimators,0.6413612961769104,1.0
model:ET-bag:criterion,1.0,1.0
model:ET-bag:max_depth,0.10937495529651642,1.0000377893447876
model:ET-bag:max_features,1.0,1.0
model:ET-bag:min_samples_leaf,0.9750007390975952,1.0003824234008791
model:ET-bag:min_samples_split,0.342104971408844,1.0000112056732178
model:ET-nobag:criterion,0.0,1.0
model:ET-nobag:max_depth,0.5260416269302368,0.9985448122024536
model:ET-nobag:max_features,1.0,1.0
model:ET-nobag:min_samples_leaf,0.17499969899654388,1.0049501657485962
model:ET-nobag:min_samples_split,0.026315286755561832,1.0000128746032717
model:KNN-l1:n_neighbors,0.9000016450881958,0.9989991784095764
model:KNN-l2:n_neighbors,0.9000016450881958,1.0002583265304563
model:LGBM-dart:bagging_fraction,0.15019991993904114,1.0042833089828491
model:LGBM-dart:feature_fraction,0.25019997358322144,1.0019297599792478
model:LGBM-dart:lambda_l1,0.04784417897462845,0.9999682307243348
model:LGBM-dart:lambda_l2,0.6070352792739868,1.0005186796188354
model:LGBM-dart:max_depth,0.8349995613098145,1.0227929353713991
model:LGBM-dart:min_child_weight,0.3941593170166016,1.0
model:LGBM-dart:num_leaves,0.2163120061159134,0.9994428157806396
model:LGBM-dart:subsample_for_bin,0.6428566575050354,1.0
model:LGBM-gbdt:bagging_fraction,0.15019991993904114,0.9998447895050048
model:LGBM-gbdt:feature_fraction,0.5501996874809265,1.0000218152999878
model:LGBM-gbdt:lambda_l1,0.9415642023086548,1.0003433227539062
model:LGBM-gbdt:lambda_l2,0.15503643453121185,1.000166654586792
model:LGBM-gbdt:max_depth,0.2950000464916229,1.0005513429641724
model:LGBM-gbdt:min_child_weight,0.1213725209236145,1.0001834630966189
model:LGBM-gbdt:num_leaves,0.8546102643013,1.0003145933151243
model:LGBM-gbdt:subsample_for_bin,0.4285716414451599,0.9999489784240724
model:LGBM-rf:bagging_fraction,0.3501999080181122,1.0005422830581665
model:LGBM-rf:feature_fraction,0.4501999318599701,0.9979853630065918
model:LGBM-rf:lambda_l1,0.6237195730209351,1.0025702714920044
model:LGBM-rf:lambda_l2,0.22449389100074768,1.0109070539474487
model:LGBM-rf:max_depth,0.1949998140335083,1.0204194784164429
model:LGBM-rf:min_child_weight,0.9205757975578308,1.0023366212844849
model:LGBM-rf:num_leaves,0.6418438553810121,1.02479088306427
model:LGBM-rf:subsample_for_bin,0.14285847544670105,1.0055837631225586
model:LR-minmax-l1:C,0.5506876111030579,1.0320066213607788
model:LR-minmax-l2:C,0.1911802589893341,1.001546025276184
model:LR-std-l1:C,0.2720498740673065,0.9996257424354552
model:LR-std-l2:C,0.5141462087631226,0.8235506415367126
model:LSVM-minmax-l1:C,0.5538824200630188,1.0079306364059448
model:LSVM-minmax-l2:C,0.4978676438331604,1.0091120004653928
model:LSVM-std-l1:C,0.3754894733428955,1.0026164054870603
model:LSVM-std-l2:C,0.9141709208488464,1.004993200302124
model:RF-bag:criterion,0.0,1.0
model:RF-bag:max_depth,0.567708432674408,1.0000627040863037
model:RF-bag:max_features,1.0,1.0
model:RF-bag:min_samples_leaf,0.9250004887580872,1.0046603679656982
model:RF-bag:min_samples_split,0.5,1.0
model:RF-nobag:criterion,0.0,1.0
model:RF-nobag:max_depth,0.3281249701976776,1.0
model:RF-nobag:max_features,0.0,1.0
model:RF-nobag:min_samples_leaf,0.8750001192092896,1.0372331142425537
model:RF-nobag:min_samples_split,0.6578946709632874,1.0130950212478638
model:XGBoost:colsample_bytree,0.8359143137931824,1.2053426504135132
model:XGBoost:max_depth,0.7569079399108887,1.2001570463180542
model:XGBoost:reg_lambda,0.8258864283561707,1.204391598701477
